t,c_hash,gct_committed_tx,gct_phase_1_pct,gct_phase_2_pct,gct_rounds,gct_write_pct,key,ssd_read_latency_us_50p,ssd_read_latency_us_99p,ssd_read_latency_us_99p9,ssd_read_latency_us_99p99,ssd_write_latency_us_50p,ssd_write_latency_us_99p,ssd_write_latency_us_99p9,ssd_write_latency_us_99p99,tx,tx_abort,tx_latency_us,tx_latency_us_10p,tx_latency_us_10pi,tx_latency_us_25p,tx_latency_us_25pi,tx_latency_us_50p,tx_latency_us_50pi,tx_latency_us_95p,tx_latency_us_95pi,tx_latency_us_99p,tx_latency_us_99p9,tx_latency_us_99p99,tx_latency_us_99pi,tx_latency_us_99pi9,tx_latency_us_99pi99,tx_latency_us_inc_wait,tx_rate,wal_hit,wal_hit_pct,wal_miss,wal_miss_pct,wal_read_gib,wal_reserve_blocked,wal_reserve_immediate,wal_total,wal_write_gib
0,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,920,0,28,5,1050,5,1980,20,3770,95,6825,155,155,155,7080,7090,7185,4669,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
1,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,282825,0,17,5,151090,5,339105,10,500000,60,500000,120,120,120,500000,500000,500000,661015,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
2,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,268253,0,18,5,500000,5,500000,10,500000,65,500000,130,130,130,500000,500000,500000,1974082,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
3,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,296123,0,16,5,500000,5,500000,10,500000,40,500000,115,115,115,500000,500000,500000,3256947,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
4,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,294508,0,16,5,500000,5,500000,10,500000,40,500000,115,115,115,500000,500000,500000,4556945,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
5,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,293288,0,16,5,500000,5,500000,10,500000,40,500000,115,115,115,500000,500000,500000,5851757,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
6,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,292127,0,16,5,500000,5,500000,10,500000,40,500000,115,115,115,500000,500000,500000,7149171,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
7,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,285283,0,17,5,500000,5,500000,10,500000,50,500000,120,120,120,500000,500000,500000,8439539,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
8,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,289439,0,17,5,500000,5,500000,10,500000,40,500000,120,120,120,500000,500000,500000,6617226,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
9,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,290563,0,16,5,500000,5,500000,10,500000,40,500000,120,120,120,500000,500000,500000,0,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
10,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,289044,0,17,5,500000,5,500000,10,500000,40,500000,120,120,120,500000,500000,500000,0,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
0,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,477,0,33,5,530,5,1280,25,2300,95,4040,165,165,165,4295,4340,4395,2993,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
1,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,272295,0,18,5,149470,5,343205,10,500000,70,500000,130,130,130,500000,500000,500000,659086,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
2,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,274385,0,17,5,500000,5,500000,10,500000,65,500000,130,130,130,500000,500000,500000,1953323,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
3,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,273612,0,18,5,500000,5,500000,10,500000,70,500000,130,130,130,500000,500000,500000,3254220,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
4,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,272174,0,18,5,500000,5,500000,10,500000,70,500000,135,135,135,500000,500000,500000,4553359,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
5,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,273310,0,18,5,500000,5,500000,10,500000,70,500000,130,130,130,500000,500000,500000,5849306,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
6,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,272469,0,18,5,500000,5,500000,10,500000,70,500000,130,130,130,500000,500000,500000,7149202,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
7,3727503496349456617,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,271252,0,18,5,500000,5,500000,10,500000,70,500000,135,135,135,500000,500000,500000,8445056,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
0,14311238029598878693,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,267,0,19,5,655,5,1380,15,2740,70,5210,120,125,125,5450,5450,5450,2894,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
1,14311238029598878693,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,77173,0,15,5,147080,5,351375,15,500000,45,500000,110,110,110,500000,500000,500000,663551,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
2,14311238029598878693,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,78149,0,15,5,500000,5,500000,10,500000,40,500000,110,110,110,500000,500000,500000,1951617,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
3,14311238029598878693,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,78553,0,15,5,500000,5,500000,10,500000,35,500000,110,110,110,500000,500000,500000,3248402,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
4,14311238029598878693,0,-nan,-nan,0,-nan,0,0,0,0,0,0,0,0,0,77691,0,15,5,500000,5,500000,10,500000,40,500000,110,110,110,500000,500000,500000,4552361,0,0,-nan,0,-nan,0.0,0,0,0.0,0.0
