t,c_hash,key,lat_read_50pm_us,lat_read_99p9m_us,lat_read_99pm_us,lat_read_max_us,lat_write_50pm_us,lat_write_99p9m_us,lat_write_99pm_us,name,outstanding_max,outstanding_min,polled_l,pushed_k,reads_k,writes_k
0,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
1,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
2,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
3,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
4,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
5,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
6,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
7,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
8,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
9,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
10,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
0,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
1,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
2,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
3,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
4,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
5,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
6,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
7,3727503496349456617,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
0,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
1,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
2,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
3,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
4,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
5,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
6,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
7,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
8,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
9,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
10,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
11,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
12,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
13,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
14,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
15,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
16,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
17,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
18,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
19,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
20,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
21,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
22,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
23,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
24,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
25,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
26,14311238029598878693,0,0,0,0,0,0,0,0,testfile,0,0,0.0,0.0,0.0,0.0
